,name,institute,provider,date,review,rating
67,Computing in Python I: Fundamentals and Procedural Programming,Georgia Institute of Technology,edX,Self Paced,117 Reviews,4.8
68,AD,Cambridge Judge Business School Executive Education,-1,Self Paced,None,5.0
69,"Agile Process, Project, and Program Controls",University System of Maryland,edX,Self Paced,117 Reviews,4.4
70,Learn to Program: The Fundamentals,University of Toronto,Coursera,"24th Aug, 2020",105 Reviews,4.8
71,ANIMATIONs,Banaras Hindu University,Swayam,"1st Aug, 2020",121 Reviews,4.4
72,Sprint Planning for Faster Agile Team Delivery,University System of Maryland,edX,Self Paced,75 Reviews,4.5
73,Agile Innovation and Problem Solving Skills,University System of Maryland,edX,Self Paced,61 Reviews,4.5
74,An Introduction to Interactive Programming in Python (Part 2),Rice University,Coursera,"17th Aug, 2020",55 Reviews,4.8
75,Computing in Python IV: Objects & Algorithms,Georgia Institute of Technology,edX,Self Paced,53 Reviews,4.9
76,Ruby on Rails: An Introduction,Johns Hopkins University,Coursera,"10th Aug, 2020",56 Reviews,3.1
77,Python for Everybody - Exploring Information,-1,Independent,Self Paced,37 Reviews,4.9
78,Computing in Python II: Control Structures,Georgia Institute of Technology,edX,Self Paced,36 Reviews,4.9
79,Python: Aprender a programar,Universitat Politècnica de València,edX,Self Paced,36 Reviews,3.8
80,AD,Santa Fe Institute,-1,Self Paced,None,5.0
81,Intro to HTML and CSS,-1,Udacity,Self Paced,35 Reviews,3.9
82,Introduction to VBA/Excel Programming,Cal Poly Pomona,Open Education by Blackboard,Self Paced,33 Reviews,4.4
83,Object-Oriented Design,University of Alberta,Coursera,"17th Aug, 2020",26 Reviews,4.2
84,"C++ For C Programmers, Part A","University of California, Santa Cruz",Coursera,"24th Aug, 2020",26 Reviews,3.2
85,Introduction to HTML5,University of Michigan,Coursera,"10th Aug, 2020",43 Reviews,4.3
86,Computing in Python III: Data Structures,Georgia Institute of Technology,edX,Self Paced,26 Reviews,4.8
87,Functional Program Design in Scala,École Polytechnique Fédérale de Lausanne,Coursera,"10th Aug, 2020",40 Reviews,4.5
