,name,institute,provider,date,review,rating
1690,Deep Learning For Visual Computing,"Indian Institute of Technology, Kharagpur",Swayam,"19th Jul, 2020",1 Reviews,4.0
1693,Introduction to Internet of Things,"Indian Institute of Technology, Kharagpur",Swayam,"19th Jul, 2020",2 Reviews,5.0
1699,The Joy of Computing using Python,"Indian Institute of Technology, Ropar",Swayam,"19th Jul, 2020",2 Reviews,5.0
1715,Running Product Design Sprints,University of Virginia,Coursera,"3rd Aug, 2020",1 Reviews,3.0
1717,Intro to Computer Science,University of Virginia,Udacity,"16th Apr, 2012",71 Reviews,4.5
1718,Computer Vision: The Fundamentals,"University of California, Berkeley",Coursera,"23rd Apr, 2012",3 Reviews,3.7
1719,An Introduction to Computer Networks,Stanford University,Independent,"8th Oct, 2012",3 Reviews,3.7
1720,6.00x: Introduction to Computer Science and Programming,Massachusetts Institute of Technology,edX,"4th Feb, 2013",12 Reviews,4.7
1721,Natural Language Processing,Columbia University,Coursera,"24th Feb, 2013",7 Reviews,4.6
1722,Pattern-Oriented Software Architectures for Concurrent and Networked Software,Vanderbilt University,Coursera,"4th Mar, 2013",3 Reviews,5.0
1724,Startup Engineering,Stanford University,Coursera,"17th Jun, 2013",8 Reviews,4.6
1725,Introduction to Systematic Program Design - Part 1,The University of British Columbia,Coursera,"4th Sep, 2013",6 Reviews,4.8
1726,Arithmétique: en route pour la cryptographie,Université Lille 1,Canvas Network,"7th Oct, 2013",1 Reviews,3.0
1730,Introduction to Grid Computing,University of Amsterdam,Independent,"18th Nov, 2013",2 Reviews,3.5
1731,Computer Networks,University of Washington,Coursera,"6th Jan, 2014",15 Reviews,4.9
1732,Discrete Inference and Learning in Artificial Vision,École Centrale Paris,Coursera,"10th Jan, 2014",2 Reviews,2.5
1734,Linear and Discrete Optimization,École Polytechnique Fédérale de Lausanne,Coursera,"17th Mar, 2014",4 Reviews,4.3
1735,Machine Learning 1—Supervised Learning,Brown University,Udacity,"17th Mar, 2014",1 Reviews,4.0
1746,Developing Scalable Apps in Java,Google,Udacity,"25th Jun, 2014",1 Reviews,4.0
1747,The Hardware/Software Interface,University of Washington,Coursera,"30th Jun, 2014",11 Reviews,4.5
1750,Information Security and Risk Management in Context,University of Washington,Coursera,"26th Aug, 2014",8 Reviews,2.4
1751,Designing and Executing Information Security Strategies,University of Washington,Coursera,"26th Aug, 2014",1 Reviews,5.0
1752,Building an Information Risk Management Toolkit,University of Washington,Coursera,"26th Aug, 2014",1 Reviews,4.0
1754,Introduction to Cybersecurity,National Cybersecurity Institute at Excelsior College,Canvas Network,"22nd Sep, 2014",2 Reviews,2.5
1755,How to Use Git and GitHub,-1,Udacity,"23rd Sep, 2014",50 Reviews,4.5
1756,Informatik für Ökonomen,University of Zurich,Coursera,"26th Oct, 2014",2 Reviews,3.5
1757,Einführung in die Internetsicherheit,-1,openHPI,"27th Oct, 2014",1 Reviews,4.0
1758,Heterogeneous Parallel Programming,University of Illinois at Urbana-Champaign,Coursera,"12th Jan, 2015",9 Reviews,4.3
1759,Artificial Intelligence Planning,University of Edinburgh,Coursera,"12th Jan, 2015",7 Reviews,3.9
1763,Einführung in Computer Vision,Technische Universität München (Technical University of Munich),Coursera,"19th Jan, 2015",2 Reviews,3.5
1764,Fog Networks and the Internet of Things,Princeton University,Coursera,"2nd Mar, 2015",3 Reviews,3.7
1766,Introduction to Computer Networking,Stanford University,Stanford OpenEdx,"31st Mar, 2015",12 Reviews,4.8
1768,DEV202.2x: Building Cloud Apps with Microsoft Azure – Part 2,Microsoft,edX,"12th May, 2015",1 Reviews,3.0
1773,CS190.1x: Scalable Machine Learning,"University of California, Berkeley",edX,"29th Jun, 2015",31 Reviews,4.5
1774,JDK 8 Massive Open and Online Course: Lambdas and Streams Introduction,Oracle,Independent,"14th Jul, 2015",6 Reviews,4.8
1780,Microsoft Enterprise Mobility Suite,Microsoft,edX,"15th Sep, 2015",1 Reviews,5.0
1782,Computer Security,Stanford University,Coursera,Self Paced,2 Reviews,3.0
1783,Introduction à la logique informatique - Partie 1 : calcul propositionnel,Université Paris-Saclay,France Université Numerique,"12th Nov, 2015",1 Reviews,5.0
1785,Data Science and Machine Learning Essentials,Microsoft,edX,"15th Nov, 2015",6 Reviews,3.8
1786,Machine Learning,University of Washington,Coursera,Self Paced,4 Reviews,4.0
1787,Computer Science 101,Stanford University,Coursera,Self Paced,23 Reviews,4.1
1791,Intro to Deep Learning,Google,Udacity,"27th Jan, 2016",52 Reviews,1.8
1794,Mobile Robots and Autonomous Vehicles,Inria (French Institute for Research in Computer Science and Automation),France Université Numerique,"8th Feb, 2016",1 Reviews,4.0
1796,General Game Playing,Stanford University,Coursera,"28th Mar, 2016",2 Reviews,5.0
1798,Introduction to Real-Time Systems,IEEE,edX,"5th Apr, 2016",2 Reviews,2.5
1801,Modelling and Simulation using Simulink,RheinMain University of Applied Sciences,iversity,"31st May, 2016",3 Reviews,4.3
1807,Distributed Machine Learning with Apache Spark,"University of California, Berkeley",edX,"11th Jul, 2016",5 Reviews,4.0
1808,Introduction to Data Analytics,Indian Institute of Technology Madras,Swayam,"18th Jul, 2016",2 Reviews,3.5
1809,Quantum Information and Computing,Indian Institute of Technology Bombay,Swayam,"18th Jul, 2016",1 Reviews,5.0
1811,Introduction to Recommender Systems,University of Minnesota,Coursera,"5th Sep, 2016",21 Reviews,3.4
1812,Introduction to Windows PowerShell,Microsoft,edX,"20th Sep, 2016",1 Reviews,5.0
1813,Initiation à la conception orientée objet,University of Sousse,France Université Numerique,"26th Sep, 2016",1 Reviews,4.0
1814,Introduction to Microsoft Azure,Microsoft,edX,"27th Sep, 2016",1 Reviews,3.0
1815,Robotic Vision,Queensland University of Technology,EdCast,"3rd Oct, 2016",4 Reviews,4.8
1819,Creative Applications of Deep Learning with TensorFlow,-1,Kadenze,"25th Oct, 2016",46 Reviews,4.7
1820,"Algorithms: Design and Analysis, Part 2",Stanford University,Coursera,"31st Oct, 2016",19 Reviews,4.7
1823,Introduction to Natural Language Processing,University of Michigan,Coursera,"5th Dec, 2016",9 Reviews,3.4
1835,Machine Learning: Recommender Systems & Dimensionality Reduction,University of Washington,Coursera,"30th Jan, 2017",2 Reviews,3.5
1837,Introduction to Data Storage and Management Technologies,IEEE,edX,"17th Feb, 2017",1 Reviews,3.0
1843,Cyber Security: Protecting Yourself and Your Data,IEEE,edX,"19th Apr, 2017",1 Reviews,1.0
1849,Modeling Discrete Optimization,University of Melbourne,Coursera,"29th May, 2017",6 Reviews,3.8
1850,Learning From Data (introductory Machine Learning course),California Institute of Technology,edX,"16th Jun, 2017",21 Reviews,4.5
1854,"Computing, Storage and Security with Google Cloud Platform",Google,Coursera,"3rd Jul, 2017",1 Reviews,4.0
1857,So You Want to Become a Biomedical Engineer,IEEE,edX,"9th Aug, 2017",2 Reviews,5.0
1861,TV Whitespaces for Museums and Archives,San Jose State University,Canvas Network,"25th Sep, 2017",1 Reviews,5.0
1862,Introduction to Logic,Stanford University,Stanford OpenEdx,"25th Sep, 2017",1 Reviews,5.0
1864,Fundamentals of Computer Architecture,EIT Digital,Coursera,"2nd Oct, 2017",1 Reviews,2.0
1866,Reliable Distributed Algorithms - Part 1,KTH Royal Institute of Technology,edX,"17th Oct, 2017",1 Reviews,5.0
1867,The Internet of Things,King's College London,FutureLearn,"6th Nov, 2017",7 Reviews,4.1
1873,"Programming, Data Structures and Algorithms",Indian Institute of Technology Madras,Swayam,"5th Feb, 2018",2 Reviews,1.5
1880,Digital Accessibility as a Business Practice,Ryerson University,Canvas Network,"5th Feb, 2018",10 Reviews,4.5
1888,Basics of ICT,Fontys Hogeschool ICT,Canvas Network,"12th Mar, 2018",1 Reviews,4.0
1895,IT Automation: It’s not that scary!,Google,Coursera,"28th May, 2018",6 Reviews,1.0
1899,Cryptography II,Stanford University,Coursera,"1st Sep, 2018",4 Reviews,4.0
1903,Smartphone Emerging Technologies,Yonsei University,Coursera,"1st Oct, 2018",3 Reviews,2.3
1905,Internet Emerging Technologies,Yonsei University,Coursera,"1st Oct, 2018",2 Reviews,3.0
1906,Internet of Things & Augmented Reality Emerging Technologies,Yonsei University,Coursera,"1st Oct, 2018",4 Reviews,2.5
1907,Wireless Communication Emerging Technologies,Yonsei University,Coursera,"1st Oct, 2018",3 Reviews,3.7
1912,Neural Networks for Machine Learning,University of Toronto,Coursera,"26th Nov, 2018",26 Reviews,3.7
1915,Natural Language Processing,Stanford University,Coursera,Self Paced,7 Reviews,5.0
1919,Biometric Technologies: Identification for the Future (January 2019),Canberra Institute of Technology,Canvas Network,"22nd Jan, 2019",8 Reviews,4.3
1922,AI:Knowledge Representation and Reasoning,Indian Institute of Technology Madras,Swayam,"28th Jan, 2019",1 Reviews,4.0
1934,"Cyber Security: Safety at Home, Online, in Life",Newcastle University,FutureLearn,"18th Feb, 2019",2 Reviews,4.0
1939,Health Informatics on FHIR,Georgia Institute of Technology,Coursera,"11th Mar, 2019",4 Reviews,4.3
1945,How to Build a Chatbot Without Coding,IBM,Coursera,"6th May, 2019",1 Reviews,5.0
1950,A developer's guide to the Internet of Things (IoT),IBM,Coursera,"27th May, 2019",1 Reviews,4.0
1955,IBM Blockchain Foundation for Developers,IBM,Coursera,"17th Jun, 2019",1 Reviews,5.0
1967,Theory of Computation,Indian Institute of Technology Kanpur,Swayam,"29th Jul, 2019",1 Reviews,5.0
1968,Joy of computing using Python,"Indian Institute of Technology, Ropar",Swayam,"29th Jul, 2019",1 Reviews,5.0
1979,Ethical Hacking,"Indian Institute of Technology, Kharagpur",Swayam,"29th Jul, 2019",2 Reviews,5.0
1982,Deep Learning Part 1 (IITM),Indian Institute of Technology Madras,Swayam,"29th Jul, 2019",1 Reviews,5.0
1987,G Suite Administrator Fundamentals,Google Cloud,Coursera,"19th Aug, 2019",1 Reviews,5.0
2001,La Web Semántica: Herramientas para la publicación y extracción efectiva de información en la Web,Pontificia Universidad Católica de Chile,Coursera,"30th Dec, 2019",2 Reviews,1.0
2003,Supervision de Réseaux et Services,Université de Lorraine,France Université Numerique,"7th Jan, 2020",1 Reviews,5.0
2018,Automotive Cyber Security: An Introduction,Coventry University,FutureLearn,"20th Jan, 2020",1 Reviews,1.0
2046,"Machine Learning,ML",KTH Royal Institute of Technology,Swayam,"24th Feb, 2020",1 Reviews,4.0
2051,Les réseaux d'accès optiques FTTH,Institut Mines-Télécom,France Université Numerique,"10th Mar, 2020",1 Reviews,5.0
2053,Blockchain in the Energy Sector,InnoEnergy,FutureLearn,"16th Mar, 2020",1 Reviews,2.0
2068,Routage et qualité de service dans l'Internet,Institut Mines-Télécom,France Université Numerique,"6th May, 2020",1 Reviews,5.0
2069,Introduction to Cyber Security,The Open University,FutureLearn,"11th May, 2020",20 Reviews,4.2
